year,cpi,pay_increase,adj_salary,salary_diff
2009,2,0.5
2010,2.5,0.4
2011,3.8,0
2012,2.6,1
2013,2.3,1
2014,1.5,2
2015,0.4,1
2016,1,1.1
2017,2.6,1.7
2018,2.3,2
2019,1.7,1.8
2020,1,0
